Local,Descricao
2559.0,Av. Sen. Teotonio Vilela (Centro/Bairro) a menos 10m. da R. Balneário São José
2560.0,Av. Giovanni Gronchi (Centro/Bairro) a menos 22m. do nº 4.864
2561.0,Av. Giovanni Gronchi (Centro/Bairro) a mais 45m. da R. Caxé
2562.0,Av. Giovanni Gronchi (Centro/Bairro) a mais 45m. da R. Caxé
2568.0,Estr. do Campo Limpo (Campo Limpo/Vila Sônia) a mais 23m. da R. Domingos de Meira
2569.0,Estr. do Campo Limpo (Campo Limpo/Vila Sônia) a mais 23m. da R. Domingos de Meira
2571.0,Av. Santo Amaro (Centro/Bairro) a mais 28m. R. Verbo Divino
2577.0,Av. Cupece (Marginal/Diadema) nº 2.958
2578.0,Av. Cupece (Marginal/Diadema) nº 2.958
2579.0,Av. Cupece (Marginal/Diadema) a mais 20m. nº 4.820
2580.0,Av. Cupece (Marginal/Diadema) a mais 20m. nº 4.820
2581.0,Av. Eng. Billings (Centro/Bairro) a mais 22m. R. Br. De Antonina
2583.0,Av. Dona Belmira Marin (Bairro/Centro) a menos 60m. do nº 2.672
2584.0,Av. Dona Belmira Marin (Centro/Bairro) a mais 60m. R. Elisia Gonçalves Barcelos
2585.0,Av. Dona Belmira Marin (Centro/Bairro) a mais 322m. da Av Antonio C. Benjamin dos Santos
2586.0,Av. Dona Belmira Marin (Centro/Bairro) a mais 63m. da R. Domenico Cimarosa
2587.0,Av. Giovanni Gronchi (Centro/Bairro) Oposto nº 705
2588.0,Av. dos Tajurás (Bairro/Centro) nº 406
2589.0,Estr. de Itapecerica (Centro/Bairro) a menos 55m. R. João Francisco Delmas
2590.0,Estr. de Itapecerica (Bairro/Centro) nº 2.979
2591.0,Estr. de Itapecerica (Bairro/Centro) nº 2.979
2593.0,Av. Ver. José Diniz (Bairro/Centro) a mais 26m. R. Joaquim Nabuco
2594.0,Av. Ver. José Diniz (Bairro/Centro) a mais 26m. R. Joaquim Nabuco
2595.0,Av. Ver. José Diniz  Faiixa Exclusiva (Centro/Bairro) R. Joaquim Nabuco
2596.0,Av. Ver. José Diniz  Faiixa Exclusiva (Centro/Bairro) R. Joaquim Nabuco
2598.0,"Av. Profº. Francisco Morato (Centro/Bairro) a menos 10,5m. R. Dráusio"
2599.0,"Av. Profº. Francisco Morato (Centro/Bairro) a menos 10,5m. R. Dráusio"
