,Data,Hora,Local,Faixa,EspecieVeiculo,ClasseVeiculo,Comprimento(m),VelocidadePontual,Descricao,Latitude,Longitude
52,20180508,235919,4326,3,1.0,0.0,3.4,75.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
53,20180508,235920,4326,4,1.0,0.0,3.7,89.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
54,20180508,235922,4326,5,1.0,0.0,3.7,100.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
55,20180508,235923,4326,1,1.0,0.0,4.0,147.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
56,20180508,235926,4326,1,1.0,0.0,3.4,119.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
57,20180508,235926,4326,4,1.0,0.0,3.6,86.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
58,20180508,235927,4326,2,1.0,0.0,3.4,122.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
59,20180508,235928,4326,3,1.0,0.0,3.8,100.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
60,20180508,235929,4326,2,1.0,0.0,3.3,103.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
61,20180508,235930,4326,4,1.0,0.0,3.1,103.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
62,20180508,235931,4326,4,1.0,0.0,3.2,103.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
63,20180508,235932,4326,3,1.0,0.0,3.9,119.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
64,20180509,158,4326,2,1.0,0.0,2.1,111.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
65,20180509,158,4326,4,3.0,1.0,9.8,69.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
66,20180509,358,4326,3,1.0,0.0,3.3,139.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
67,20180509,401,4326,2,1.0,0.0,3.3,125.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
68,20180509,406,4326,3,1.0,0.0,3.8,136.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
69,20180509,450,4326,2,1.0,0.0,3.2,86.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
70,20180509,451,4326,3,1.0,0.0,3.4,83.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
71,20180509,453,4326,2,1.0,0.0,3.6,86.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
72,20180509,522,4326,4,1.0,0.0,3.4,150.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
73,20180509,523,4326,2,1.0,0.0,3.4,136.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
74,20180509,528,4326,2,1.0,0.0,3.7,125.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
75,20180509,528,4326,3,1.0,0.0,3.7,133.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
76,20180509,529,4326,1,1.0,0.0,3.3,117.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
77,20180509,531,4326,3,1.0,0.0,3.4,125.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
78,20180509,532,4326,1,1.0,0.0,3.4,122.0,Av. Alcântara Machado (Centro/Bairro) a mais 18m da R. Hipódromo,-23.54960196,-46.60500096
